,0,1,2,3,4,5,6,7,Single Core IPC,Raw IPC,Weighted speedup
654.roms_s-1070B,0.445304,0.436881,0.445441,0.439956,0.445611,0.442996,0.442748,0.443868,1.07378,3.542805,3.2993769673489917
654.roms_s-1390B,0.353069,0.354016,0.352504,0.354885,0.353063,0.354169,0.354805,0.352978,1.12287,2.829489,2.5198722915386464
657.xz_s-2302B,0.623885,0.62276,0.622952,0.623022,0.622552,0.622856,0.622069,0.621675,0.668207,4.981771,7.455430727304563
bc-0,0.0510885,0.0510016,0.0509998,0.0510828,0.0510298,0.0509692,0.0509258,0.0509764,0.23374,0.4080739,1.745845383759733
bc-3,0.0548018,0.0547984,0.0547738,0.0547247,0.0547901,0.0547928,0.0547514,0.0547442,0.26584,0.4381772,1.64827414986458
bc-5,0.168376,0.168402,0.168362,0.168388,0.168138,0.168112,0.168379,0.168243,0.439484,1.3464,3.0635927587807523
bc-12,0.0524699,0.0524228,0.0524018,0.0524043,0.0524279,0.0524405,0.052387,0.0523814,0.242207,0.41933560000000003,1.7313108209093875
bfs-3,0.227329,0.227562,0.227599,0.227374,0.227284,0.227305,0.228186,0.228184,0.397676,1.820823,4.5786595117633455
bfs-8,0.249508,0.249446,0.249316,0.24926,0.249255,0.2502,0.249518,0.250636,0.36071,1.997139,5.536688752737657
bfs-10,0.224738,0.224643,0.224713,0.224754,0.224742,0.224848,0.224712,0.224843,0.384023,1.797993,4.681993005627267
bfs-14,0.271519,0.271168,0.271073,0.271519,0.270827,0.272047,0.271489,0.272441,0.369823,2.1720829999999998,5.873304256360474
cc-5,0.0841314,0.0841054,0.0841221,0.0841385,0.0841519,0.0840554,0.0841241,0.0841188,0.397298,0.6729476,1.6938106912191857
cc-6,0.0667606,0.0667309,0.0667205,0.0667617,0.066719,0.0667526,0.066733,0.0667261,0.254145,0.5339044,2.100786558854197
cc-13,0.0721415,0.0720489,0.0720949,0.0720642,0.0720789,0.0720796,0.0720755,0.0720815,0.278889,0.576665,2.0677222837759826
cc-14,0.0778592,0.0778602,0.0778988,0.0778674,0.0778596,0.077886,0.0781657,0.0778462,0.329797,0.6232431,1.889777954317353
pr-3,0.0143689,0.0143647,0.0143661,0.0143623,0.0143843,0.0143645,0.0143809,0.0143825,0.0898901,0.1149742,1.2790529769129193
pr-5,0.0143619,0.0143669,0.0143654,0.014355,0.014354,0.0143546,0.0143482,0.01435,0.0898874,0.114856,1.2777764180519182
pr-10,0.0143424,0.0143405,0.0143399,0.0143398,0.0143358,0.0143301,0.0143297,0.0143254,0.0898595,0.1146836,1.2762545974549158
pr-14,0.0143144,0.0143133,0.0143157,0.014315,0.0143163,0.0143197,0.0143205,0.0143221,0.089871,0.114537,1.2744600594184998
sssp-3,0.114048,0.113864,0.11399,0.113896,0.114737,0.114786,0.113958,0.114725,0.695208,0.914004,1.3147201988469637
sssp-5,0.11469,0.114549,0.114503,0.113778,0.114612,0.114587,0.114791,0.114827,0.697782,0.916337,1.3132138690880533
sssp-10,0.113726,0.113675,0.114808,0.114877,0.113684,0.113724,0.113654,0.113551,0.699775,0.911699,1.3028459147583151
sssp-14,0.113988,0.114416,0.114428,0.114494,0.114312,0.11496,0.114995,0.114963,0.697079,0.916556,1.3148524055379662
